iter	Passed	Remaining
734	1436	517
735	1438	515
736	1439	513
737	1441	511
738	1442	509
739	1443	507
740	1445	505
741	1449	504
742	1451	502
743	1453	500
744	1454	497
745	1456	495
746	1457	493
747	1459	491
748	1461	489
749	1465	488
750	1467	486
751	1470	484
752	1471	482
753	1473	480
754	1474	478
755	1476	476
756	1480	475
757	1481	473
758	1483	470
759	1484	468
760	1486	466
761	1488	464
762	1489	462
763	1490	460
764	1491	458
765	1496	457
766	1498	455
767	1500	453
768	1502	451
769	1504	449
770	1507	447
771	1510	446
772	1512	444
773	1515	442
774	1517	440
775	1519	438
776	1521	436
777	1526	435
778	1528	433
779	1530	431
780	1532	429
781	1533	427
782	1535	425
783	1536	423
784	1538	421
785	1541	419
786	1543	417
787	1545	415
788	1546	413
789	1548	411
790	1549	409
791	1551	407
792	1552	405
793	1557	403
794	1558	401
795	1560	400
796	1563	398
797	1565	396
798	1566	394
799	1568	392
800	1572	390
801	1573	388
802	1575	386
803	1576	384
804	1577	382
805	1579	380
806	1580	377
807	1581	375
808	1583	373
809	1584	371
810	1587	369
811	1589	368
812	1591	366
813	1593	364
814	1595	362
815	1597	360
816	1598	358
817	1601	356
818	1603	354
819	1605	352
820	1607	350
821	1609	348
822	1610	346
823	1612	344
824	1616	342
825	1618	340
826	1620	338
827	1622	337
828	1624	335
829	1626	333
830	1628	331
831	1632	329
832	1634	327
833	1635	325
834	1637	323
835	1638	321
836	1639	319
837	1642	317
838	1643	315
839	1645	313
840	1647	311
841	1649	309
842	1650	307
843	1652	305
844	1653	303
845	1655	301
846	1660	299
847	1663	298
848	1664	296
849	1666	294
850	1667	292
851	1669	289
852	1670	287
853	1671	285
854	1675	284
855	1677	282
856	1678	280
857	1680	278
858	1681	275
859	1682	273
860	1685	272
861	1686	270
862	1690	268
863	1692	266
864	1694	264
865	1696	262
866	1699	260
867	1700	258
868	1702	256
869	1706	254
870	1707	252
871	1709	250
872	1710	248
873	1711	246
874	1712	244
875	1714	242
876	1715	240
877	1716	238
878	1717	236
879	1721	234
880	1722	232
881	1723	230
882	1724	228
883	1726	226
884	1727	224
885	1728	222
886	1729	220
887	1731	218
888	1732	216
889	1733	214
890	1736	212
891	1737	210
892	1738	208
893	1740	206
894	1741	204
895	1742	202
896	1744	200
897	1745	198
898	1746	196
899	1747	194
900	1750	192
901	1752	190
902	1753	188
903	1754	186
904	1755	184
905	1757	182
906	1758	180
